2022-03-13 00:30:02.424 [cluster-ClusterId{value='622c42641d13b642b021098e', description='null'}-114.55.119.114:27117] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2816, serverValue:77667}] to 114.55.119.114:27117
2022-03-13 00:30:03.793 [cluster-ClusterId{value='622c42641d13b642b021098e', description='null'}-114.55.119.114:27317] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2817, serverValue:93028}] to 114.55.119.114:27317
2022-03-13 00:30:08.455 [cluster-ClusterId{value='622c42641d13b642b021098e', description='null'}-114.55.119.114:27217] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2818, serverValue:77045}] to 114.55.119.114:27217
2022-03-13 00:30:08.741 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-27] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@6fb80ecc: tags=[[amq.ctag-SecHUSpLihqQ6wVD37Zwuw]], channel=Cached Rabbit Channel: PublisherCallbackChannelImpl: AMQChannel(amqp://hz@8.142.46.67:5672/,1), conn: Proxy@6e56314f Shared Rabbit Connection: SimpleConnection@f10430e [delegate=amqp://hz@8.142.46.67:5672/, localPort= 59486], acknowledgeMode=MANUAL local queue size=0
2022-03-13 00:30:08.741 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-27] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@4841f341: tags=[[amq.ctag-1t2KAhXxxG_laUkT6dkQjw]], channel=Cached Rabbit Channel: PublisherCallbackChannelImpl: AMQChannel(amqp://hz@8.142.46.67:5672/,2), conn: Proxy@6e56314f Shared Rabbit Connection: SimpleConnection@f10430e [delegate=amqp://hz@8.142.46.67:5672/, localPort= 59486], acknowledgeMode=MANUAL local queue size=0
2022-03-13 00:30:08.750 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-28] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [8.142.46.67:5672]
2022-03-13 00:30:08.826 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-28] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#d140987:28/SimpleConnection@2fa3d148 [delegate=amqp://hz@8.142.46.67:5672/, localPort= 59566]
2022-03-13 00:30:13.140 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2756, serverValue:77643}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.143 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2760, serverValue:77645}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.146 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2765, serverValue:77646}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.148 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2768, serverValue:77647}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.150 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2772, serverValue:77648}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.153 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2775, serverValue:77649}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.154 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2779, serverValue:77650}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.156 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2783, serverValue:77651}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.157 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2786, serverValue:77652}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.157 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2758, serverValue:93007}] to 114.55.119.114:27317 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.157 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2757, serverValue:77022}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.158 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2790, serverValue:77653}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.159 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2761, serverValue:77023}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.159 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2794, serverValue:77654}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.160 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2759, serverValue:93008}] to 114.55.119.114:27317 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.160 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2764, serverValue:77024}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.161 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2798, serverValue:77655}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.161 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2762, serverValue:93009}] to 114.55.119.114:27317 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.161 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2769, serverValue:77025}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.162 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2773, serverValue:77026}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.163 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2763, serverValue:93010}] to 114.55.119.114:27317 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.163 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2800, serverValue:77656}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.164 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2777, serverValue:77027}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.165 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2766, serverValue:93011}] to 114.55.119.114:27317 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.165 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2802, serverValue:77657}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.166 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2780, serverValue:77028}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.166 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2767, serverValue:93012}] to 114.55.119.114:27317 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.167 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2784, serverValue:77029}] to 114.55.119.114:27217 because there was a socket exception raised on another connection from this pool.
2022-03-13 00:30:13.166 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2804, serverValue:77658}] to 114.55.119.114:27117 because there was a socket exception raised on another connection from this pool.
